กลิ่น (scent),ขนาด (size),เกรด (grade),SKU,Barcode
Teenage Dream TRY ME!,50 ml.,EDP,TEM-50 ml,TEM50
Thai Perfume,50 ml.,EDT,TPF-50ml,8857128012168
Tidy,50 ml,EDP,,8857128011508
Tropical Leather,10 ml.,EDP+,TLR-10 ml,8857128012112
Tropical Leather,30 ml.,EDP+,TLR-30 ml,8857128012011
Tropical Leather,4 ml.,EDP+,TLR-4 ml,8857128012113
Tropical Leather,50 ml.,EDP+,TLR-50 ml,8857128011720
Tropical Leather TRY ME!,30 ml.,EDP+,TLM-30 ml,TLM30
Tropical Leather TRY ME!,50 ml.,EDP+,TLM-50 ml,TLM50
Tumbler CYOC (Dark Blue),Dark Blue,Tumbler,TUM-DB,8857128012131
Tumbler CYOC (White),White,Tumbler,TUM-W,8857128012130
Vandal,10 ml.,EDP,VAL-10 ml,8857128012075
Vandal,30 ml.,EDP,VAL-30 ml,8857128011980
Vandal,4 ml.,EDP+,VAL-4 ml,8857128012076
Vandal,50 ml.,EDP,VAL-50 ml,8857128011348
Vandal TRY ME!,30 ml.,EDP+,VAM-30 ml,VAM30
Vandal TRY ME!,50 ml.,EDP+,VAM-50 ml,VAM50
Velvet Oud,10 ml.,EDP,VOD-10 ml,8857128012047
Velvet Oud,30 ml.,EDP,VOD-30 ml,8857128012048
Velvet Oud,4 ml.,EDP,VOD-4 ml,8857128012046
Velvet Oud,50 ml.,EDP,VOD-50 ml,8857128011522
Velvet Oud TRY ME!,30 ml.,EDP,VOM-30 ml,VOM30
Velvet Oud TRY ME!,50 ml.,EDP,VOM-50 ml,VOM50
Victory,10 ml.,EDP,VIY-10 ml,8857128011263
Victory,30 ml.,EDP,VIY-30 ml,8857128011430
Victory,4 ml.,EDP,VIY-4 ml,8857128011751
Victory,50 ml.,EDP,VIY-50 ml,8857128011164
Victory TRY ME!,30 ml.,EDP,VYM-30 ml,VYM30
Victory TRY ME!,50 ml.,EDP,VYM-50 ml,VYM50
Vintage,10 ml.,EDP,VIE-10 ml,8857128012079
Vintage,30 ml.,EDP,VIE-30 ml,8857128011966
Vintage,4 ml.,EDP,VIE-4 ml,8857128012080
Vintage,50 ml.,EDP,VIE-50 ml,8857128011270
Vintage TRY ME!,30 ml.,EDP,VEM-30 ml,VEM30
Vintage TRY ME!,50 ml.,EDP,VEM-50 ml,VEM50
Virgin X,10 ml.,EDP,VIX-10 ml,8857128012053
Virgin X,30 ml.,EDP,VIX-30 ml,8857128011997
Virgin X,4 ml.,EDP,VIX-4 ml,8857128012054
Virgin X,50 ml.,EDP,VIX-50 ml,8857128011256
Virgin X TRY ME!,30 ml.,EDP,VXM-30 ml,VXM30
Virgin X TRY ME!,50 ml.,EDP,VXM-50 ml,VXM50
Vivid,10 ml.,EDP,VID-10 ml,8857128012060
Vivid,30 ml.,EDP,VID-30 ml,8857128011898
Vivid,4 ml.,EDP,VID-4 ml,8857128012061
Vivid,50 ml.,EDP,VID-50 ml,8857128011065
Vivid TRY ME!,30 ml.,EDP,VIM-30 ml,VIM30
Vivid TRY ME!,50 ml.,EDP,VIM-50 ml,VIM50
Volt - Aware (EDT),10 ml,EDT,,8857128020001
Volt - Aware (EDT),30 ml,EDT,,8857128020012
Volt - Aware (EDT),90 ml,EDT,,8857128020023
Volt - Benign (EDT),10 ml,EDT,,8857128020002
Volt - Benign (EDT),30 ml,EDT,,8857128020013
Volt - Benign (EDT),90 ml,EDT,,8857128020024
Volt - Elite (EDT),10 ml,EDT,,8857128020003
Volt - Elite (EDT),30 ml,EDT,,8857128020014
Volt - Elite (EDT),90 ml,EDT,,8857128020025
Volt - Gentle (EDT),10 ml,EDT,,8857128020004
Volt - Gentle (EDT),30 ml,EDT,,8857128020015
Volt - Gentle (EDT),90 ml,EDT,,8857128020026
Volt - Nifty (EDT),10 ml,EDT,,8857128020005
Volt - Nifty (EDT),30 ml,EDT,,8857128020016
Volt - Nifty (EDT),90 ml,EDT,,8857128020027
Volt - Perfect Pear (EDT),10 ml,EDT,,8857128020006
Volt - Perfect Pear (EDT),30 ml,EDT,,8857128020017
Volt - Perfect Pear (EDT),90 ml,EDT,,8857128020028
Volt - Savoury (EDT),10 ml,EDT,,8857128020007
Volt - Savoury (EDT),30 ml,EDT,,8857128020018
Volt - Savoury (EDT),90 ml,EDT,,8857128020029
Volt - Twilight (EDT),10 ml,EDT,,8857128020008
Volt - Twilight (EDT),30 ml,EDT,,8857128020019
Volt - Twilight (EDT),90 ml,EDT,,8857128020030
Volt - Vandal (EDT),10 ml,EDT,,8857128020009
Volt - Vandal (EDT),30 ml,EDT,,8857128020020
Volt - Vandal (EDT),90 ml,EDT,,8857128020031
Volt - What (EDT),10 ml,EDT,,8857128020010
Volt - What (EDT),30 ml,EDT,,8857128020021
Volt - What (EDT),90 ml,EDT,,8857128020032
Volt - You (EDT),10 ml,EDT,,8857128020011
Volt - You (EDT),30 ml,EDT,,8857128020022
Volt - You (EDT),90 ml,EDT,,8857128020033
Voyage,10 ml.,EDP,VOE-10 ml,8857128012027
Voyage,30 ml.,EDP,VOE-30 ml,8857128012023
Voyage,4 ml.,EDP,VOE-4 ml,8857128012045
Voyage,50 ml.,EDP,VOE-50 ml,8857128012019
Voyage TRY ME!,30 ml.,EDP,VGM-30 ml,VGM30
Voyage TRY ME!,50 ml.,EDP,VGM-50 ml,VGM50
Wealth,10 ml.,EDP,WEH-10 ml,8857128012096
Wealth,30 ml.,EDP,WEH-30 ml,8857128012095
Wealth,4 ml.,EDP+,WEH-4 ml,8857128012097
Wealth,50 ml.,EDP,WEH-50 ml,8857128011379
Wealth TRY ME!,30 ml.,EDP+,WEM-30 ml,WEM30
Wealth TRY ME!,50 ml.,EDP+,WEM-50 ml,WEM50
What,10 ml.,PARFUM,WHP-10 ml,8857128012124
What,30 ml.,PARFUM,WHA-30 ml,8857128012013
What,4 ml.,PARFUM,WHP-4 ml,8857128012125
What,50 ml.,PARFUM,WHP-50 ml,8857128011645
What TRY ME!,30 ml.,PARFUM,WHM-30 ml,WHM30
What TRY ME!,50 ml.,PARFUM,WHM-50 ml,WHM50
White Velour,10 ml,EDP+,,8857128012176
White Velour,30 ml,EDP+,,8857128012175
White Velour,4 ml,EDP+,,8857128012177
White Velour,50 ml,EDP+,,8857128011553
Zeus,10 ml.,EDP,ZES-10 ml,8857128012041
Zeus,30 ml.,EDP,ZES-30 ml,8857128011843
Zeus,4 ml.,EDP,ZES-4 ml,8857128012017
Zeus,50 ml.,EDP,ZES-50 ml,8857128011027
Zeus TRY ME!,30 ml.,EDP,ZEM-30 ml,ZEM30
Zeus TRY ME!,50 ml.,EDP,ZEM-50 ml,ZEM50
ถุงกระดาษ Size M,Size M,Bag,BAG-M,8857128012134
ถุงกระดาษ Size S,Size S,Bag,BAG-S,8857128012133
